entry_time,exit_time,side,entry,exit,pnl,exit_reason,partial_closed,entry_hour,entry_weekday,duration_bars,entry_month
2025-01-02 11:00:00+00:00,2025-01-02 11:06:00+00:00,LONG,1.03168,1.03271,98.87,TP,False,6,3,0,2025-01
2025-01-02 11:30:00+00:00,2025-01-02 12:01:00+00:00,LONG,1.03222,1.03342,115.87,TP,False,6,3,0,2025-01
2025-01-02 13:00:00+00:00,2025-01-02 13:36:00+00:00,LONG,1.03183,1.03297,109.87,TP,False,8,3,0,2025-01
2025-01-02 14:15:00+00:00,2025-01-02 14:32:00+00:00,LONG,1.03109,1.03223,109.88,TP,False,9,3,0,2025-01
2025-01-02 15:30:00+00:00,2025-01-02 16:00:00+00:00,LONG,1.02857,1.02725,-136.11,SL,False,10,3,0,2025-01
2025-01-02 16:00:00+00:00,2025-01-02 16:03:00+00:00,LONG,1.02744,1.02608,-140.1,SL,False,11,3,0,2025-01
2025-01-02 16:15:00+00:00,2025-01-02 16:43:00+00:00,LONG,1.02576,1.0241,-170.1,SL,False,11,3,0,2025-01
2025-01-02 16:45:00+00:00,2025-01-02 16:59:00+00:00,LONG,1.02456,1.02645,184.9,TP,False,11,3,0,2025-01
2025-01-02 19:00:00+00:00,2025-01-02 21:44:00+00:00,LONG,1.02565,1.02679,109.9,TP,False,14,3,0,2025-01
2025-01-02 22:00:00+00:00,2025-01-03 00:58:00+00:00,LONG,1.02667,1.02729,57.9,TP,False,17,3,0,2025-01
2025-01-03 08:15:00+00:00,2025-01-03 08:31:00+00:00,LONG,1.02845,1.02794,-55.12,SL,False,3,4,0,2025-01
2025-01-03 16:45:00+00:00,2025-01-03 17:07:00+00:00,LONG,1.02899,1.02997,93.88,TP,False,11,4,0,2025-01
2025-01-03 17:15:00+00:00,2025-01-03 18:03:00+00:00,LONG,1.03025,1.02943,-86.12,SL,False,12,4,0,2025-01
2025-01-03 21:00:00+00:00,2025-01-05 22:53:00+00:00,LONG,1.0306,1.03011,-53.12,SL,False,16,4,0,2025-01
2025-01-05 23:00:00+00:00,2025-01-05 23:01:00+00:00,LONG,1.03019,1.03067,43.88,TP,False,18,6,0,2025-01
2025-01-06 03:00:00+00:00,2025-01-06 05:56:00+00:00,SHORT,1.03161,1.03106,50.88,TP,False,22,6,0,2025-01
2025-01-06 08:15:00+00:00,2025-01-06 08:18:00+00:00,SHORT,1.03372,1.03424,-56.14,SL,False,3,0,0,2025-01
2025-01-06 08:30:00+00:00,2025-01-06 08:46:00+00:00,SHORT,1.03403,1.03329,69.86,TP,False,3,0,0,2025-01
2025-01-06 09:00:00+00:00,2025-01-06 09:03:00+00:00,SHORT,1.03503,1.03404,94.86,TP,False,4,0,0,2025-01
2025-01-06 09:30:00+00:00,2025-01-06 10:12:00+00:00,SHORT,1.03584,1.03468,111.86,TP,False,4,0,0,2025-01
2025-01-06 16:00:00+00:00,2025-01-07 07:20:00+00:00,SHORT,1.03936,1.04133,-201.16,SL,False,11,0,0,2025-01
2025-01-07 09:15:00+00:00,2025-01-07 10:05:00+00:00,SHORT,1.04263,1.04169,89.83,TP,False,4,1,0,2025-01
2025-01-07 12:15:00+00:00,2025-01-07 12:38:00+00:00,SHORT,1.04098,1.04009,84.84,TP,False,7,1,0,2025-01
2025-01-07 15:15:00+00:00,2025-01-07 15:21:00+00:00,LONG,1.03683,1.03793,105.85,TP,False,10,1,0,2025-01
2025-01-07 15:45:00+00:00,2025-01-07 16:32:00+00:00,LONG,1.0364,1.03797,152.85,TP,False,10,1,0,2025-01
2025-01-07 17:00:00+00:00,2025-01-07 17:24:00+00:00,LONG,1.03684,1.03539,-149.14,SL,False,12,1,0,2025-01
2025-01-07 17:30:00+00:00,2025-01-07 18:14:00+00:00,LONG,1.03692,1.03568,-128.14,SL,False,12,1,0,2025-01
2025-01-07 21:15:00+00:00,2025-01-08 00:28:00+00:00,LONG,1.03428,1.03492,59.86,TP,False,16,1,0,2025-01
2025-01-08 00:30:00+00:00,2025-01-08 00:34:00+00:00,SHORT,1.03491,1.03449,37.86,TP,False,19,1,0,2025-01
2025-01-08 03:30:00+00:00,2025-01-08 03:33:00+00:00,LONG,1.03503,1.03472,-35.14,SL,False,22,1,0,2025-01
2025-01-08 03:45:00+00:00,2025-01-08 04:11:00+00:00,LONG,1.03469,1.03506,32.86,TP,False,22,1,0,2025-01
2025-01-08 05:15:00+00:00,2025-01-08 05:25:00+00:00,LONG,1.03503,1.03538,30.86,TP,False,0,2,0,2025-01
2025-01-08 08:00:00+00:00,2025-01-08 08:07:00+00:00,LONG,1.03324,1.0325,-78.14,SL,False,3,2,0,2025-01
2025-01-08 08:15:00+00:00,2025-01-08 08:19:00+00:00,LONG,1.03309,1.03382,68.86,TP,False,3,2,0,2025-01
2025-01-08 08:30:00+00:00,2025-01-08 08:52:00+00:00,LONG,1.03255,1.03188,-71.13,SL,False,3,2,0,2025-01
2025-01-08 09:00:00+00:00,2025-01-08 10:12:00+00:00,LONG,1.03188,1.03113,-79.12,SL,False,4,2,0,2025-01
2025-01-08 11:30:00+00:00,2025-01-08 11:32:00+00:00,LONG,1.03005,1.02888,-121.12,SL,False,6,2,0,2025-01
2025-01-08 11:45:00+00:00,2025-01-08 11:49:00+00:00,LONG,1.02849,1.02946,92.88,TP,False,6,2,0,2025-01
2025-01-08 12:00:00+00:00,2025-01-08 12:16:00+00:00,LONG,1.02979,1.02873,-110.12,SL,False,7,2,0,2025-01
2025-01-08 12:30:00+00:00,2025-01-08 12:41:00+00:00,LONG,1.0289,1.03001,106.88,TP,False,7,2,0,2025-01
2025-01-09 00:45:00+00:00,2025-01-09 00:58:00+00:00,LONG,1.03085,1.03122,32.88,TP,False,19,2,0,2025-01
2025-01-09 01:00:00+00:00,2025-01-09 01:22:00+00:00,LONG,1.03132,1.03174,37.88,TP,False,20,2,0,2025-01
2025-01-09 01:45:00+00:00,2025-01-09 02:13:00+00:00,SHORT,1.03142,1.03176,-38.12,SL,False,20,2,0,2025-01
2025-01-09 04:30:00+00:00,2025-01-09 06:03:00+00:00,SHORT,1.03095,1.03053,37.88,TP,False,23,2,0,2025-01
2025-01-09 07:45:00+00:00,2025-01-09 08:00:00+00:00,SHORT,1.0294,1.02877,58.88,TP,False,2,3,0,2025-01
2025-01-09 14:30:00+00:00,2025-01-09 15:05:00+00:00,LONG,1.031,1.03041,-63.12,SL,False,9,3,0,2025-01
2025-01-09 19:45:00+00:00,2025-01-09 23:51:00+00:00,LONG,1.03002,1.02968,-38.12,SL,False,14,3,0,2025-01
2025-01-10 00:30:00+00:00,2025-01-10 01:09:00+00:00,LONG,1.02944,1.02985,36.88,TP,False,19,3,0,2025-01
2025-01-10 04:00:00+00:00,2025-01-10 04:35:00+00:00,LONG,1.02985,1.02956,-33.12,SL,False,23,3,0,2025-01
2025-01-10 04:45:00+00:00,2025-01-10 05:33:00+00:00,LONG,1.02948,1.02919,-33.12,SL,False,23,3,0,2025-01
2025-01-10 05:45:00+00:00,2025-01-10 05:50:00+00:00,LONG,1.02927,1.02899,-32.12,SL,False,0,4,0,2025-01
2025-01-10 06:00:00+00:00,2025-01-10 06:15:00+00:00,LONG,1.02858,1.02824,-38.12,SL,False,1,4,0,2025-01
2025-01-10 06:15:00+00:00,2025-01-10 07:08:00+00:00,LONG,1.02828,1.02871,38.88,TP,False,1,4,0,2025-01
2025-01-10 08:00:00+00:00,2025-01-10 08:07:00+00:00,LONG,1.02971,1.0293,-45.12,SL,False,3,4,0,2025-01
2025-01-10 14:00:00+00:00,2025-01-10 14:44:00+00:00,SHORT,1.02564,1.0272,-160.1,SL,False,9,4,0,2025-01
2025-01-10 17:30:00+00:00,2025-01-13 03:32:00+00:00,LONG,1.02393,1.02259,-138.1,SL,False,12,4,0,2025-01
2025-01-13 06:15:00+00:00,2025-01-13 06:24:00+00:00,SHORT,1.02235,1.02179,51.92,TP,False,1,0,0,2025-01
2025-01-13 09:30:00+00:00,2025-01-13 09:46:00+00:00,LONG,1.01867,1.0198,108.92,TP,False,4,0,0,2025-01
2025-01-13 11:30:00+00:00,2025-01-13 11:43:00+00:00,LONG,1.01909,1.02029,115.92,TP,False,6,0,0,2025-01
2025-01-13 12:15:00+00:00,2025-01-13 12:56:00+00:00,LONG,1.01947,1.02065,113.92,TP,False,7,0,0,2025-01
2025-01-13 18:15:00+00:00,2025-01-13 19:41:00+00:00,LONG,1.02164,1.02099,-69.08,SL,False,13,0,0,2025-01
2025-01-13 20:15:00+00:00,2025-01-13 21:06:00+00:00,LONG,1.02131,1.02188,52.92,TP,False,15,0,0,2025-01
2025-01-13 21:30:00+00:00,2025-01-13 21:44:00+00:00,LONG,1.02225,1.02299,69.91,TP,False,16,0,0,2025-01
2025-01-13 21:45:00+00:00,2025-01-13 21:49:00+00:00,LONG,1.02278,1.02329,46.9,TP,False,16,0,0,2025-01
2025-01-13 23:00:00+00:00,2025-01-13 23:00:00+00:00,SHORT,1.02601,1.02685,-88.1,SL,False,18,0,0,2025-01
2025-01-13 23:15:00+00:00,2025-01-13 23:27:00+00:00,SHORT,1.02615,1.02695,-84.1,SL,False,18,0,0,2025-01
2025-01-13 23:30:00+00:00,2025-01-13 23:34:00+00:00,SHORT,1.02689,1.02773,-88.11,SL,False,18,0,0,2025-01
2025-01-13 23:45:00+00:00,2025-01-14 00:02:00+00:00,SHORT,1.02699,1.0256,134.9,TP,False,18,0,0,2025-01
2025-01-14 00:45:00+00:00,2025-01-14 02:41:00+00:00,LONG,1.02476,1.024,-80.1,SL,False,19,0,0,2025-01
2025-01-14 05:00:00+00:00,2025-01-14 05:24:00+00:00,SHORT,1.02503,1.02441,57.9,TP,False,0,1,0,2025-01
2025-01-14 11:15:00+00:00,2025-01-14 12:08:00+00:00,SHORT,1.02581,1.02463,113.9,TP,False,6,1,0,2025-01
2025-01-14 18:45:00+00:00,2025-01-14 20:24:00+00:00,LONG,1.02984,1.03075,86.88,TP,False,13,1,0,2025-01
2025-01-14 21:00:00+00:00,2025-01-14 21:57:00+00:00,LONG,1.03019,1.03085,61.88,TP,False,16,1,0,2025-01
2025-01-15 03:00:00+00:00,2025-01-15 03:05:00+00:00,SHORT,1.02971,1.03008,-41.12,SL,False,22,1,0,2025-01
2025-01-15 03:15:00+00:00,2025-01-15 05:19:00+00:00,SHORT,1.03005,1.03035,-34.12,SL,False,22,1,0,2025-01
2025-01-15 06:15:00+00:00,2025-01-15 07:02:00+00:00,LONG,1.02958,1.02909,-53.12,SL,False,1,2,0,2025-01
2025-01-15 09:30:00+00:00,2025-01-15 09:37:00+00:00,SHORT,1.03053,1.03121,-72.12,SL,False,4,2,0,2025-01
2025-01-15 15:45:00+00:00,2025-01-15 15:52:00+00:00,SHORT,1.03146,1.0299,151.88,TP,False,10,2,0,2025-01
2025-01-15 17:15:00+00:00,2025-01-16 07:38:00+00:00,LONG,1.02859,1.03014,150.88,TP,False,12,2,0,2025-01
2025-01-16 13:45:00+00:00,2025-01-16 14:11:00+00:00,LONG,1.0279,1.02705,-89.11,SL,False,8,3,0,2025-01
2025-01-16 14:15:00+00:00,2025-01-16 14:52:00+00:00,LONG,1.0273,1.02835,100.89,TP,False,9,3,0,2025-01
2025-01-17 00:15:00+00:00,2025-01-17 00:31:00+00:00,LONG,1.02992,1.03035,38.88,TP,False,19,3,0,2025-01
2025-01-17 03:00:00+00:00,2025-01-17 04:04:00+00:00,SHORT,1.03032,1.02993,34.88,TP,False,22,3,0,2025-01
2025-01-17 04:45:00+00:00,2025-01-17 05:23:00+00:00,LONG,1.02933,1.02905,-32.12,SL,False,23,3,0,2025-01
2025-01-17 05:45:00+00:00,2025-01-17 05:56:00+00:00,SHORT,1.02895,1.02921,-30.12,SL,False,0,4,0,2025-01
2025-01-17 06:45:00+00:00,2025-01-17 06:58:00+00:00,SHORT,1.02878,1.02913,-39.12,SL,False,1,4,0,2025-01
2025-01-17 08:00:00+00:00,2025-01-17 08:02:00+00:00,SHORT,1.02845,1.02888,-47.12,SL,False,3,4,0,2025-01
2025-01-19 22:45:00+00:00,2025-01-19 22:57:00+00:00,LONG,1.02755,1.02847,87.88,TP,False,17,6,0,2025-01
2025-01-19 23:00:00+00:00,2025-01-19 23:01:00+00:00,LONG,1.02805,1.02747,-62.11,SL,False,18,6,0,2025-01
2025-01-19 23:30:00+00:00,2025-01-19 23:43:00+00:00,LONG,1.02686,1.02755,64.89,TP,False,18,6,0,2025-01
2025-01-19 23:45:00+00:00,2025-01-19 23:59:00+00:00,LONG,1.02732,1.02794,57.89,TP,False,18,6,0,2025-01
2025-01-20 03:30:00+00:00,2025-01-20 03:32:00+00:00,SHORT,1.02955,1.03005,-54.12,SL,False,22,6,0,2025-01
2025-01-20 07:30:00+00:00,2025-01-20 07:43:00+00:00,SHORT,1.03104,1.03168,-68.12,SL,False,2,0,0,2025-01
2025-01-20 07:45:00+00:00,2025-01-20 08:26:00+00:00,SHORT,1.03173,1.03103,65.88,TP,False,2,0,0,2025-01
2025-01-20 11:30:00+00:00,2025-01-20 12:29:00+00:00,LONG,1.03214,1.03154,-64.12,SL,False,6,0,0,2025-01
2025-01-20 13:45:00+00:00,2025-01-20 13:48:00+00:00,SHORT,1.03807,1.0392,-117.16,SL,False,8,0,0,2025-01
2025-01-20 14:15:00+00:00,2025-01-20 14:41:00+00:00,SHORT,1.039,1.04068,-172.16,SL,False,9,0,0,2025-01
2025-01-20 15:30:00+00:00,2025-01-20 17:13:00+00:00,SHORT,1.04034,1.03796,233.84,TP,False,10,0,0,2025-01
2025-01-20 18:30:00+00:00,2025-01-20 19:46:00+00:00,LONG,1.03859,1.04067,203.84,TP,False,13,0,0,2025-01
